X,Y,I,O
40.76727216,-73.99392888,4559,4597
40.71911552,-74.00666661,3189,3223
40.71117416,-74.00016545,1146,1161
40.68382604,-73.97632328,1823,2133
40.69608941,-73.97803415,305,378
40.68676793,-73.95928168,1258,1112
40.73172428,-74.00674436,6933,7054
40.72710258,-74.00297088,6752,6869
40.69239502,-73.99337909,2448,2456
40.69839895,-73.98068914,895,1020
40.71625008,-74.0091059,3418,3436
40.7208736,-73.98085795,3075,3874
40.72210379,-73.99724901,8006,7995
40.69089272,-73.99612349,2238,2343
40.72917025,-73.99810231,5699,5752
40.75323098,-73.97032517,3066,3030
40.7489006,-73.97604882,4621,4650
40.73971301,-73.99456405,7701,8000
40.76068327,-73.98452729,7010,7138
40.7381765,-73.97738662,3573,3567
40.70905623,-74.01043382,4212,4222
40.74334935,-74.00681753,5085,5089
40.70037867,-73.99548059,1000,826
40.70277159,-73.99383605,4151,4995
40.73781509,-73.99994661,4483,4501
40.7546011,-73.97187886,2694,2718
40.72743423,-73.99379025,8095,8251
40.69597683,-73.99014892,1740,1669
40.7284186,-73.98713956,5701,6153
40.73047309,-73.98672378,5901,5916
40.7361967,-74.00859207,3212,3230
40.69196566,-73.9813018,2957,2749
40.68981035,-73.97493121,1663,1626
40.697787,-73.973736,1306,1339
40.688226,-73.979382,1158,1624
40.69196035,-73.96536851,1762,1560
40.69327018,-73.97703874,824,777
40.73535398,-74.00483091,3062,3068
40.72185379,-74.00771779,1391,1400
40.71870987,-74.0090009,1862,1860
40.72317958,-73.99480012,6264,6300
40.73226398,-73.99852205,3792,3806
40.73543934,-73.99453948,3635,3652
40.73532427,-73.99800419,3225,3215
40.71939226,-74.00247214,3915,3940
40.68940747,-73.96885458,2314,1867
40.70122128,-74.01234218,3838,3849
40.70365182,-74.01167797,125,157
40.69474881,-73.98362464,1697,1709
40.6917823,-73.9737299,1546,1296
40.70706456,-74.00731853,2602,2654
40.72229346,-73.99147535,5370,5487
40.72368361,-73.97574813,1996,1645
40.75097711,-73.98765428,4648,4600
40.71910537,-73.99973337,4424,4447
40.69308257,-73.97178913,1930,1856
40.68691865,-73.976682,2128,2240
40.68650065,-73.96563307,1240,1099
40.71748752,-74.0104554,2561,2585
40.69766564,-73.98476437,950,939
40.707873,-74.00167,4265,4329
40.73331967,-73.99510132,2908,2916
40.7643971,-73.97371465,9345,8207
40.70764494,-73.96841526,2034,2067
40.73454567,-73.99074142,10330,10224
40.6845683,-73.95881081,983,800
40.713126,-73.984844,1751,1747
40.73020661,-73.99102628,8810,8770
40.71406667,-73.99293911,2633,2641
40.71413089,-73.9970468,3447,3493
40.734232,-73.986923,5725,5733
40.68683208,-73.9796772,1253,1291
40.72217444,-73.98368779,4167,4608
40.72082834,-73.97793172,2152,2164
40.72362738,-73.99949601,4085,4136
40.70463334,-74.01361706,6053,6568
40.76095756,-73.96724467,4630,4615
40.70823502,-74.00530063,3036,3044
40.71427487,-73.98990025,6044,6015
40.71307916,-73.99851193,2479,2475
40.7149787,-74.013012,3741,3823
40.68926942,-73.98912867,1948,2010
40.7172274,-73.98802084,3468,3498
40.722055,-73.989111,5618,5642
40.69610226,-73.96751037,1469,1578
40.69383,-73.990539,2323,2129
40.70355377,-74.00670227,6122,6128
40.70955958,-74.00653609,2637,2659
40.72453734,-73.98185424,4048,4037
40.711066,-74.009447,4885,4914
40.717571,-74.005549,2737,2750
40.69991755,-73.98971773,2729,2703
40.696192,-73.991218,1717,1693
40.69236178,-73.98631746,2630,2595
40.689888,-73.981013,2296,3635
40.73624527,-73.98473765,3697,3686
40.72953837,-73.98426726,5000,5049
40.7153379,-74.01658354,8117,8120
40.72405549,-74.00965965,4455,4453
40.71450451,-74.00562789,2798,2808
40.71173107,-73.99193043,2022,2001
40.71219906,-73.97948148,2158,2126
40.74238787,-73.99726235,5720,5725
40.72903917,-73.99404649,3693,3764
40.73047747,-73.99906065,4910,4982
40.7037992,-74.00838676,2145,2176
40.72580614,-73.97422494,1705,1230
40.71269042,-73.98776323,2082,2086
40.71782143,-73.97628939,1774,1764
40.71739973,-73.98016555,1934,1914
40.69794,-73.96986848,945,1077
40.6851443,-73.95380904,1225,1163
40.73649403,-73.99704374,4878,4875
40.73652889,-74.00618026,3862,3856
40.728846,-74.008591,6041,6134
40.71850211,-73.98329859,2151,2152
40.71559509,-73.9870295,3284,3267
40.70530954,-74.00612572,3100,3151
40.68539567,-73.97431458,1301,1335
40.69363137,-73.96223558,1407,1533
40.71602118,-73.99974372,3610,3664
40.71622644,-73.98261206,1987,1569
40.73261787,-73.99158043,2702,2692
40.73291553,-74.00711384,9346,9390
40.75510267,-73.97498696,8096,8130
40.70717936,-74.00887308,2363,2331
40.71605866,-73.99190759,4837,4856
40.75172632,-73.98753523,2997,2854
40.70834698,-74.01713445,4663,4692
40.68900443,-73.96023854,1713,1686
40.68223166,-73.9614583,1227,1113
40.693261,-73.968896,2540,2485
40.73038599,-74.00214988,9434,9505
40.73224119,-74.00026394,3561,3556
40.69454609,-73.95801365,683,705
40.69331716,-73.95381995,540,615
40.70862144,-74.00722156,2521,2535
40.72243797,-74.00566443,5130,5349
40.749156,-73.9916,8251,8238
40.73401143,-74.00293877,5170,5180
40.73492695,-73.99200509,7559,7688
40.735238,-74.000271,4881,4986
40.71494807,-74.00234482,2963,2988
40.71273266,-74.0046073,8250,8205
40.74971775,-74.00295035,4509,4656
40.71044554,-73.96525063,2611,2509
40.69221589,-73.9842844,1079,1056
40.69760127,-73.99344559,3192,2470
40.695065,-73.987167,2384,2485
40.72299208,-73.97995466,2267,2267
40.72521311,-73.97768752,4365,3990
40.68034242,-73.95576894,869,813
40.68415748,-73.96922273,919,770
40.69165183,-73.9999786,3175,3393
40.68851534,-73.9647628,1606,1163
40.71926081,-73.98178024,1030,1031
40.72019576,-73.98997825,5382,5385
40.7403432,-73.98955109,11604,11528
40.72502876,-73.99069656,6131,6191
40.739323,-74.008119,7676,7673
40.69512845,-73.99595065,2512,2316
40.700469,-73.991454,1432,1386
40.71076228,-73.99400398,2017,2049
40.6906495,-73.95643107,1127,1075
40.72066442,-73.98517977,5154,5188
40.72228087,-73.97668709,2163,2063
40.7158155,-73.99422366,4862,4871
40.70281858,-73.98765762,2364,2589
40.7047177,-74.00926027,2930,2965
40.68753406,-73.97265183,1756,1618
40.71291224,-74.01020234,5674,5691
40.70224,-73.982578,1384,1554
40.69580705,-73.97355569,776,835
40.68764484,-73.96968902,1205,1061
40.69573398,-73.97129668,908,834
40.770513,-73.988038,3301,3254
40.76584941,-73.98690506,3980,3994
40.71754834,-74.01322069,13539,14221
40.701907,-74.013942,3279,3312
40.72621788,-73.98379855,6234,6259
40.72955361,-73.98057249,5270,4974
40.74173969,-73.99415556,11385,11532
40.68216564,-73.95399026,722,652
40.68098339,-73.95004798,1535,1490
40.72779126,-73.98564945,5548,5679
40.7262807,-73.98978041,2637,2636
40.75255434,-73.97282625,3287,3313
40.756014,-73.967416,4084,4093
40.746647,-73.993915,6605,6600
40.70853074,-73.96408963,700,544
